My dog is acting weird like hes in trouble and won't respond normal to my affection or play and is shaking?,"Something is definitely wrong.  Get in touch with a vet or take him to an emergency vet clinic.
You can also ask a vet questions online---here's one link:
www.petcoach.co/"
,"Shaking is most often a sign of pain distress, mental or physical.
Cautiously examine your pup for painful areas.
Contact a vet."
,You had time to tell us about it and not take him to vet?
Its national champagne day.and new years eve and amteure. Otherwise known when tne real alcoholics stay home and the and the new ones are on the road?,"Happy New year to be!!!! ?
I'll take a tall glass of bubbly please!"
,Happy New Year Otis and Blurtit family. I raise my glass of champagne and wish you all the best in the new year. ????
,"Happy New Year to each one of you.
Thank you Otis for posting every morning. It's the first question I look for each day."
,Happy New Year everyone! Cheers!
Its national champagne day.and new years eve and amteure. Otherwise known when tne real alcoholics stay home and the and the new ones are on the road?,"Happy New year to be!!!! ?
I'll take a tall glass of bubbly please!"
,Happy New Year Otis and Blurtit family. I raise my glass of champagne and wish you all the best in the new year. ????
,"Happy New Year to each one of you.
Thank you Otis for posting every morning. It's the first question I look for each day."
,Happy New Year everyone! Cheers!
Are you good at singing?,Lol! Only if your trying to get a cat to screech or a dog to howl!
,I sound just like Adele...when I sing in my car with the windows rolled up and the stereo on full blast. ??
,Well kind of. I love to sing but only in my reg voice. I can't hit the high notes.
,"Good gosh no!
Had to take chorus in high school..the music teacher told me not to make a sound just mouth watermelon."
,Does making everyone want to die count as good singing
,"Yes i am a good singer. Many people said when i am sing other songs, and just checkout this here Advertising Companies in Pakistan"
Its national bicarbonate of soda day. And bacon day. How about some bacon?????????????????????,"I'm giving Echooos my bacon. Nooooooooo bacon for me!
I prefer Zantac and tums over bicarbonate of soda."
,"Did you say BACON?
Give it all to me!!!"
,Count me in for bacon. I love it!
,Bring on the bacon ... Crispy please!  :)
,Bring on the bacon!
,I'll need B of  S after the bacon O.D.
,We are having bloated stomach day.
,Did I read bacon? ?? I'll take some bacpn!
My dog is acting weird like hes in trouble and won't respond normal to my affection or play and is shaking?,"Something is definitely wrong.  Get in touch with a vet or take him to an emergency vet clinic.
You can also ask a vet questions online---here's one link:
www.petcoach.co/"
,"Shaking is most often a sign of pain distress, mental or physical.
Cautiously examine your pup for painful areas.
Contact a vet."
,You had time to tell us about it and not take him to vet?
My dog is acting weird like hes in trouble and won't respond normal to my affection or play and is shaking?,"Something is definitely wrong.  Get in touch with a vet or take him to an emergency vet clinic.
You can also ask a vet questions online---here's one link:
www.petcoach.co/"
,"Shaking is most often a sign of pain distress, mental or physical.
Cautiously examine your pup for painful areas.
Contact a vet."
,You had time to tell us about it and not take him to vet?
"Happy New Year everyone. Be happy, healthy and prosperous?",Thank you Ray. I wish the same for you.
,Thank you Ray. The same for you also.
,Thank you Ray! I wish the same for you.
,Thanks for the wishes. I hope the same for you too.
,And to you too.
,"The same to u.
I'll do my best."
,"How sweet! (Ray must've killed a cat! Lol)
Just kidding my friend! Thank you and we wish the same back to you! ?"
,Thanks Ray! You do the same.
,"Back at ya, Ray.
happy, healthy and prosperous---yep"
Its national bicarbonate of soda day. And bacon day. How about some bacon?????????????????????,"I'm giving Echooos my bacon. Nooooooooo bacon for me!
I prefer Zantac and tums over bicarbonate of soda."
,"Did you say BACON?
Give it all to me!!!"
,Count me in for bacon. I love it!
,Bring on the bacon ... Crispy please!  :)
,Bring on the bacon!
,I'll need B of  S after the bacon O.D.
,We are having bloated stomach day.
,Did I read bacon? ?? I'll take some bacpn!
does eating any type of medicine include in drug?,Yes..medicine is included in drugs
Its national bicarbonate of soda day. And bacon day. How about some bacon?????????????????????,"I'm giving Echooos my bacon. Nooooooooo bacon for me!
I prefer Zantac and tums over bicarbonate of soda."
,"Did you say BACON?
Give it all to me!!!"
,Count me in for bacon. I love it!
,Bring on the bacon ... Crispy please!  :)
,Bring on the bacon!
,I'll need B of  S after the bacon O.D.
,We are having bloated stomach day.
,Did I read bacon? ?? I'll take some bacpn!
"Happy New Year everyone. Be happy, healthy and prosperous?",Thank you Ray. I wish the same for you.
,Thank you Ray. The same for you also.
,Thank you Ray! I wish the same for you.
,Thanks for the wishes. I hope the same for you too.
,And to you too.
,"The same to u.
I'll do my best."
,"How sweet! (Ray must've killed a cat! Lol)
Just kidding my friend! Thank you and we wish the same back to you! ?"
,Thanks Ray! You do the same.
,"Back at ya, Ray.
happy, healthy and prosperous---yep"
"Did you receive any candy as a gift for Christmas? If so, what kind?",No I didn't.
,Soft centre chocs.
,"I received too much candy, if anything. I received Japanese candy, two boxes of chocolates, KitKats, Pez, rose-flavored hard candies, Hershey's kisses...people seem to be under the impression that I like candy or something. :P"
,No actual candy ... But a See's Candies gift certificate (even better)!  :)
,Two pumpkin pies
Its national bicarbonate of soda day. And bacon day. How about some bacon?????????????????????,"I'm giving Echooos my bacon. Nooooooooo bacon for me!
I prefer Zantac and tums over bicarbonate of soda."
,"Did you say BACON?
Give it all to me!!!"
,Count me in for bacon. I love it!
,Bring on the bacon ... Crispy please!  :)
,Bring on the bacon!
,I'll need B of  S after the bacon O.D.
,We are having bloated stomach day.
,Did I read bacon? ?? I'll take some bacpn!
Its national bicarbonate of soda day. And bacon day. How about some bacon?????????????????????,"I'm giving Echooos my bacon. Nooooooooo bacon for me!
I prefer Zantac and tums over bicarbonate of soda."
,"Did you say BACON?
Give it all to me!!!"
,Count me in for bacon. I love it!
,Bring on the bacon ... Crispy please!  :)
,Bring on the bacon!
,I'll need B of  S after the bacon O.D.
,We are having bloated stomach day.
,Did I read bacon? ?? I'll take some bacpn!
Where Can I Get Hindi Essays On My Favourite Book?,Essay searching is very important process and you should do it carefully. My favorite paper writing service can help you with this question especially with book review. You can order it here: https://pro-papers.com/book-review-writing. So good luck to you with this.
,"Essay searching is very important process, so i advice you to do it careful. But for make your life easier you can order anything you want especially book review at professional  paper writing service https://pro-papers.com/book-review-writing. I tried and i'm satisfied. So good luck with your study."
,consider academicresearchtutor.com/ Prices are very friendly too as low as $6
,"My advice is not to search specifically for your book, but to find a good service that can provide you with an essay.  It is much easier to find a writer who can tell you his demands, by which he will already write your essay.  Try it, it's much easier than trying to find something specific.  I once used https://papercheap.co.uk/write-my-essay.  Within a few minutes I was able to agree with the writer, indicate his requirements to him and said on what topic I needed to write.  My essay was ready within 8 hours.  Do not forget that you can always specify a suitable time frame for yourself."
,You may try finding the needed answers in some parts of an expository essay samples which uncover the peculiarities of writing on a chosen topic correctly.
,"All fields such as mathematics, physics, science, literature, especially writing need a good practice and guidance from an experienced person. Perhaps, you know where can I find a step-by-step guide on how to write thesis conclusion chapter? Thanks in advance"
,"If you want to get Essays Assignment Help, then you can visit Call Tutors – Best Online
Writing Assignment Help.
We Provide Homework and Assignment Writing
Help Service Online from Well Expert Writers. Assignment Writing Service offers
the top custom writing services for UK US & AUS.
Professional writer deliver affordable and 100% plagiarism free work. We provide
Best quality assignment writing service and
dissertation writing service at Calltutors.com with most affordable
prices. Get Best Assignment help, Homework help, and Essay & Dissertation
assignment help immediately.
Call Tutors - Ask
Assignment | Assignment Help | Research Paper Help"
,If you need a best college essay writing service then contact me. We are the top quality writing service in US delivering 100% unique and plagiarism free content to our clients. Don't worry about our charges and all. You can afford it  and you will be surely satisfied with our writing services https://www.topessayservices.com/
,Read the instructions on https://www.theunitutor.com. This site is fully dedicated to essay writing.There are hundreds of articles devotd to acaemic writing.
,"Hello. I want to share some tips on how to write an essay yourself. First select a topic and write the main thesis. Thesis is the main argument in your essay. When you have just received an essay, try to fully explore the materials for your thesis. Once you have written the essay, go back to your text and find sentences that seem too long or overloaded. Break them into two or more sentences. Following this advice you can write a good college essay"
,"EduBirdie essay writing service is well liked among many students, especially on Reddit discussions. But people often ask, ""Does Edubirdie work? Is it legit?"" So I tested this website and wrote my own EduBirdie Review. If you are looking for information about “edubirdie cancel order”, welcome to Scamfighter!"
Where Can I Find A Jewelry Wholesaler Who Will Sell To Me Without A State Tax Id #?,"Well, baybecakes  if you don't mind wholesale low price fashion jewellery on line ,even do ""drop shipping"", I can share you one source.

The fashion jewellery website offers worldwide free shipping and the unit price is still low.
You can get what you think hot and price them yourself.

Of course, no tax id #. Needed."
,"https://www.chloeandisabel.com/boutique/angelazhou
I think you'd really like the Chloe + Isabel brand collection of jewelry! This answer is so late, but feel free to check it out [:"
Should adults have the right to carry a concealed handgun?,Yes I think they should I mean as long as you have a licenses and are register and haven't committed a felony believe you should be able to  carry a gun if you so please and its a right as an american citizen to get and carry a gun
,"Yes but only after passing a stringent gun class and background check with a 7 day waiting period to ytake possession of the gun. Even as an ex Federal Officer, I took many more specialized classes to get my concealed carry weapon permit for Florida, that regular citizens take. They weed out many applications for whatever reason so many don't pass and get there license to carry here, thank God, buit it is your right so use it"
,"Yes!
But only after taking all the necessary steps ."
,"“Run the Gun” is Safe, Confident, and Effective gun management.
Jacksonville Gun Runners are here to teach you how to “Run The Gun!” Do you own a gun but are not sure if you could use it if the situation arose? We are here to change that. We will teach you to “Run Your Gun” so that you are safe, comfortable, and confident.
Jacksonville Gun Runners, the US Military, and all law enforcement agencies use the same teaching technique.  First they teach HOW to safely, confidently, and effectively operate a gun before any shooting at the range.  Learn to “Run Your Gun” from an experienced professional Instructor.
Announcing our NEW PEPPER SPRAY class!!! One and a half hours of essential training in how to use your Pepper Spray for real self defense situations and includes a pepper spray to take home. Online registration available.
Training and Classes include: Concealed Weapons License Certification in a large group or enhanced setting, NEW Pepper Spray class, Beyond Concealed Carry, and Private, Individual, Group, and Family training, and Live fire range instruction is also available
Jacksonville Gun Runners"
,"No. I don't think so. If I meet you on the street, I would like to know what kind of situation I could get into. If I c u have a gun, I'm going to keep on walking. I deserve that choice.
Its not fair of u to hide the gun and take my choice away."
,No because there too many hot headed people out there.
"Happy New Year everyone. Be happy, healthy and prosperous?",Thank you Ray. I wish the same for you.
,Thank you Ray. The same for you also.
,Thank you Ray! I wish the same for you.
,Thanks for the wishes. I hope the same for you too.
,And to you too.
,"The same to u.
I'll do my best."
,"How sweet! (Ray must've killed a cat! Lol)
Just kidding my friend! Thank you and we wish the same back to you! ?"
,Thanks Ray! You do the same.
,"Back at ya, Ray.
happy, healthy and prosperous---yep"
Its national bicarbonate of soda day. And bacon day. How about some bacon?????????????????????,"I'm giving Echooos my bacon. Nooooooooo bacon for me!
I prefer Zantac and tums over bicarbonate of soda."
,"Did you say BACON?
Give it all to me!!!"
,Count me in for bacon. I love it!
,Bring on the bacon ... Crispy please!  :)
,Bring on the bacon!
,I'll need B of  S after the bacon O.D.
,We are having bloated stomach day.
,Did I read bacon? ?? I'll take some bacpn!
Is putting a finger/hand under someone's chin supposed to mean something? I see villains do it all the time to protagonists.,"Other than generally invading somebody's personal space, I'm not aware of any meaning."
"Happy New Year everyone. Be happy, healthy and prosperous?",Thank you Ray. I wish the same for you.
,Thank you Ray. The same for you also.
,Thank you Ray! I wish the same for you.
,Thanks for the wishes. I hope the same for you too.
,And to you too.
,"The same to u.
I'll do my best."
,"How sweet! (Ray must've killed a cat! Lol)
Just kidding my friend! Thank you and we wish the same back to you! ?"
,Thanks Ray! You do the same.
,"Back at ya, Ray.
happy, healthy and prosperous---yep"
How is 2018 going to be different from 2017?,"I'll just be older too.
My granddaughter will graduate from VMI!  "
,"We'll b writing a new number on our checks.
And I'm sure inflation will b part of the new year and with luck, trump will b out of the WH"
,"I'll have a lot more money to add to my net worth, while everything and everyone else around me will crumble.
But hey! Tax cuts! It's an accomplishment of some sort."
,2018 going just the same if one goes into it with same notions and evil thoughts.
"I made my crush, who I haven't seen for over a year, my profile picture. Is this creepy?",Yes.
,I'm creeped out and I am not even your crush!
,Yes
,It’s enough that you’re asking. That should tell you.
,"That’s super creepy. Just stop it, doing that will accomplish nothing but push them even further away from your creepy self."
,"Yeah it's creepy. If you feel skeptical about your partner if he or she is cheating on you, you can contact Williamsdhackghost@ gmail.com to help you out I'm sure he'd be of great help. Thank me later"
,"Yes it is creepy
Wizkid, Davido, Olamide, Ycee etc all Have several Songs and Videos, Download Mp3 Here

Download Davido – Go Down mp3 & mp4 3gp

Download Free mp3 Davido Fia"
,"Yes it is creepy
Wizkid, Davido, Olamide, Ycee etc all Have several Songs and Videos, Download Mp3 Here

Download Album – in zip mp3 & mp4 3gp

Download Free mp3 Lil Wayne"
"I made my crush, who I haven't seen for over a year, my profile picture. Is this creepy?",Yes.
,I'm creeped out and I am not even your crush!
,Yes
,It’s enough that you’re asking. That should tell you.
,"That’s super creepy. Just stop it, doing that will accomplish nothing but push them even further away from your creepy self."
,"Yeah it's creepy. If you feel skeptical about your partner if he or she is cheating on you, you can contact Williamsdhackghost@ gmail.com to help you out I'm sure he'd be of great help. Thank me later"
,"Yes it is creepy
Wizkid, Davido, Olamide, Ycee etc all Have several Songs and Videos, Download Mp3 Here

Download Davido – Go Down mp3 & mp4 3gp

Download Free mp3 Davido Fia"
,"Yes it is creepy
Wizkid, Davido, Olamide, Ycee etc all Have several Songs and Videos, Download Mp3 Here

Download Album – in zip mp3 & mp4 3gp

Download Free mp3 Lil Wayne"
"Did you receive any candy as a gift for Christmas? If so, what kind?",No I didn't.
,Soft centre chocs.
,"I received too much candy, if anything. I received Japanese candy, two boxes of chocolates, KitKats, Pez, rose-flavored hard candies, Hershey's kisses...people seem to be under the impression that I like candy or something. :P"
,No actual candy ... But a See's Candies gift certificate (even better)!  :)
,Two pumpkin pies
Today is my last day of my period but during my period i had unprotected sex twice. But for the last two days I've been feeling a little movement then my stomach caving in and out what could it be? I don't have none of the pregnancy symtoms?,"You're not gonna feel pregnancy movement just after conceiving, I'll guess ya got gas!"
"For about 3 days now, I've been feeling tired and having sleepless nights... I had two periods in a month. The first was normal and the last one dark in color and caused loss of appetite... What could it be, I am 34 years old?","You really need to contact your healthcare provider.  Remember changes in your life, medications, ect... Can all lead to problems like this--or it could be the sign of something worse.  May sure to inform your healthcare provider of any medications, over the counter or prescription you are taking along with any vitamins and supplements.
If you cannot afford to your to your healthcare provider/do not have insurance contact your local Planned Parenthood, reproductive clinic, or free clinic.  They should be able to help you for free/reduced cost or with a sliding fee scale based on income.  If they are unable to help you they should be able to refer you to someone who can."
"Did you receive any candy as a gift for Christmas? If so, what kind?",No I didn't.
,Soft centre chocs.
,"I received too much candy, if anything. I received Japanese candy, two boxes of chocolates, KitKats, Pez, rose-flavored hard candies, Hershey's kisses...people seem to be under the impression that I like candy or something. :P"
,No actual candy ... But a See's Candies gift certificate (even better)!  :)
,Two pumpkin pies
I'm a girl and i was wondering could i be pregnant because me and my girlfriend had sex and I've been craving food I don't usually eat and my stomach hurts really bad and I've been having mood swings. Thoughts?,"Uhhh. I'm sorry, you're a girl having sex with another girl and you're worried that you might be pregnant??
I don't think you're ready to be having any sex until you understand the basics of human biology. How old are you???"
,"First of all I will suggest you to take pregnancy test . It very easy go to any medicine store [ pharmacy] and buy a pregnancy test gadget and test own your own. There must be a manual guide to learn more how to use .
And second as you said you're a girl and you had sex with your girlfriend that's mean she is girl too. So there is no possibility to get pregnant . Why there is no chance ? Because an pregnancy ussaly happened after a sex with a male . Becuase
Getting pregnant (conception) happens when a man’s sperm fertilises a woman’s egg. Read more
So I think there is no chance .
If you feel sick you must take some medicine and for sure must visit a doctor . I think its your health disorder there is nothing to do having sex with your gf and those are not a pregnancy symptoms."
"I'm 16, female. Wondering if I have some health problem because I missed my period (first time ever) I'm more tired recently and have a loss of appetite. I also have mild diarrhea and have been really thirsty even though I drink a lot of water?",Please have your parents take you to the doctor and discuss this.  Could be nothing but you never know.  Please don't put this off .
,Toni is right. There is weird germs going around. It's best to see a doctor.
